title,link,date,content_snippet
"Wamen BUMN Kunjungi Nasabah PNM Mekaar di Desa Ulian, Kintamani",https://www.cnnindonesia.com/ekonomi/20250629155700-625-1244923/wamen-bumn-kunjungi-nasabah-pnm-mekaar-di-desa-ulian-kintamani,2025-06-29,"Direktur Utama PT Permodalan Nasional Madani (PNM) Arief Mulyadi beserta jajaran Direksi BRI dan BNI menerima kunjungan Wakil Menteri (Wamen) BUMN Kartika Wirjoatmodjo di Desa Ulian, Kintamani, Bali dalam rangka Peninjauan Pertemuan Kelompok Mingguan (PKM) PNM Mekaar di Cabang Denpasar."
Prabowo Sebut RI Harus Hasilkan 100 GWh Demi Capai Swasembada Energi,https://www.cnnindonesia.com/ekonomi/20250629154507-532-1244910/prabowo-sebut-ri-harus-hasilkan-100-gwh-demi-capai-swasembada-energi,2025-06-29,Presiden RI Prabowo Subianto mengatakan Indonesia harus mampu memproduksi listrik 100 gigawatt (GWh) untuk mencapai swasembada energi.
"Smart TV 50 Inch Banting Harga di Transmart Jadi Rp3,9 Jutaan Aja",https://www.cnnindonesia.com/ekonomi/20250626152828-97-1244183/smart-tv-50-inch-banting-harga-di-transmart-jadi-rp39-jutaan-aja,2025-06-29,"Transmart Full Day Sale kembali lagi hari ini, Minggu (29/6). Aneka barang elektronik banting harga, misalnya beli Smart TV 50 inch di Transmart harganya cuma Rp3,9 jutaan."
"Tarif MRT, LRT, dan Transjakarta Cuma Rp1 pada Selasa 1 Juli",https://www.cnnindonesia.com/ekonomi/20250629112830-92-1244833/tarif-mrt-lrt-dan-transjakarta-cuma-rp1-pada-selasa-1-juli,2025-06-29,"Dinas Perhubungan (Dishub) DKI Jakarta menerapkan tarif khusus untuk LRT, MRT, dan Transjakarta pada Selasa (1/7)."
Prabowo Resmikan Groundbreaking Industri Baterai Kendaraan Listrik,https://www.cnnindonesia.com/ekonomi/20250629150850-532-1244900/prabowo-resmikan-groundbreaking-industri-baterai-kendaraan-listrik,2025-06-29,"Presiden RI Prabowo Subianto meresmikan peletakan batu pertama (groundbreaking) Ekosistem Industri Baterai Listrik Terintegrasi Konsorsium ANTAM-IBC-CBL di Kawasan Artha Industrial Hills (AIH) di Kab. Karawang, Jabar, Minggu (29/6)."
Harga Emas Antam Turun Rp17 Ribu Hari Ini,https://www.cnnindonesia.com/ekonomi/20250627125827-92-1244424/harga-emas-antam-turun-rp17-ribu-hari-ini,2025-06-27,"Harga emas batangan PT Aneka Tambang Tbk (Antam) terpantau melemah pada perdagangan hari ini, Jumat (27/6)."
Harga Minyak Dunia Diklaim Turun Usai Iran-Israel Gencatan Senjata,https://www.cnnindonesia.com/ekonomi/20250627115923-85-1244417/harga-minyak-dunia-diklaim-turun-usai-iran-israel-gencatan-senjata,2025-06-27,Wakil Menteri Energi dan Sumber Daya Mineral (ESDM) Yuliot Tanjung mengklaim harga minyak dunia mulai menunjukkan tren penurunan setelah tercapainya kesepakatan gencatan senjata antara Iran dan Israel.
ESDM: Impor Minyak dan LNG dari Rusia Masih Dikaji,https://www.cnnindonesia.com/ekonomi/20250627103405-85-1244394/esdm-impor-minyak-dan-lng-dari-rusia-masih-dikaji,2025-06-27,Wakil Menteri Energi dan Sumber Daya Mineral (ESDM) Yuliot Tanjung menyatakan pemerintah Indonesia masih mengkaji lebih lanjut rencana impor minyak dan gas alam cair (LNG) dari Rusia.
Anak Buah Bahlil Bersuara soal Ekspor Batu Bara RI Merosot 19 Persen,https://www.cnnindonesia.com/ekonomi/20250627094057-85-1244385/anak-buah-bahlil-bersuara-soal-ekspor-batu-bara-ri-merosot-19-persen,2025-06-27,"Pelaksana Harian (Plh) Direktur Jenderal Minyak dan Gas Bumi Kementerian Energi dan Sumber Daya Mineral (ESDM), Tri Winarno, buka suara terkait penurunan nilai ekspor batu bara Indonesia sebesar 19,74 persen pada periode Januari-April 2025, dibandingkan dengan tahun sebelumnya."
Cak Imin: Pembangunan Bandara Bali Utara Direstui Prabowo,https://www.cnnindonesia.com/ekonomi/20250627091103-92-1244372/cak-imin-pembangunan-bandara-bali-utara-direstui-prabowo,2025-06-27,Menteri Koordinator Bidang Pemberdayaan Masyarakat (Menko PM) Abdul Muhaimin Iskandar (Cak Imin) mengatakan pembangunan Bandara Internasional Bali Utara (BIBU) mendapatkan restu Presiden Republik Indonesia Prabowo Subianto.
